suborder_id,suborder_id,floral
102079763-2,102079763-2,floral
102099599-2,102099599-2,floral
102106755-1,102106755-1,shipping floral
102109566-7,102109566-7,plant
102110304-2,102110304-2,floral
102110686-1,102110686-1,shipping vase floral
102110942-1,102110942-1,vase floral
102113345-1,102113345-1,floral
102113446-1,102113446-1,shipping vase floral
102114922-1,102114922-1,floral
102117143-1,102117143-1,floral
102119295-2,102119295-2,vase floral
102121292-1,102121292-1,floral vase
102122721-1,102122721-1,shipping floral
102123680-1,102123680-1,shipping floral
102123908-1,102123908-1,floral
102124133-1,102124133-1,shipping vase floral
102124401-1,102124401-1,shipping vase floral
102124934-1,102124934-1,shipping floral
102125069-2,102125069-2,vase floral
102130213-1,102130213-1,floral
102132815-1,102132815-1,vase floral
102132815-2,102132815-2,vase floral
102133079-1,102133079-1,floral shipping
102134957-1,102134957-1,shipping floral
102135144-1,102135144-1,shipping vase floral
102135454-1,102135454-1,floral shipping
102135621-1,102135621-1,shipping floral
102136474-1,102136474-1,floral vase shipping
102136867-1,102136867-1,shipping floral
102137386-1,102137386-1,shipping floral
102137397-1,102137397-1,floral
102137507-1,102137507-1,floral vase shipping
102137690-1,102137690-1,shipping floral
102137691-1,102137691-1,shipping floral
102137919-1,102137919-1,floral
102138124-1,102138124-1,shipping floral
102138412-1,102138412-1,floral shipping
102138415-1,102138415-1,shipping floral
102138423-1,102138423-1,floral shipping
102139050-1,102139050-1,shipping floral
102139354-1,102139354-1,add_on floral
102139384-2,102139384-2,floral
102139398-1,102139398-1,shipping floral vase
102139447-2,102139447-2,vase floral
102139672-1,102139672-1,shipping floral
102139706-1,102139706-1,shipping floral
102139706-2,102139706-2,floral
102139877-1,102139877-1,shipping vase floral
102139927-1,102139927-1,shipping floral
102140346-2,102140346-2,floral
102140348-1,102140348-1,floral
102140804-1,102140804-1,shipping floral
102140822-1,102140822-1,shipping floral
102140889-1,102140889-1,shipping floral
102141064-1,102141064-1,shipping floral
102141351-1,102141351-1,shipping vase floral
102141470-1,102141470-1,floral vase
102141764-1,102141764-1,floral
102142187-1,102142187-1,shipping vase floral
102142262-1,102142262-1,shipping add_on dried
102142272-1,102142272-1,add_on dried
102142422-2,102142422-2,vase floral
102142797-2,102142797-2,vase floral
102143017-2,102143017-2,vase floral
102143079-1,102143079-1,vase add_on floral
102143404-1,102143404-1,floral add_on vase shipping
102143490-1,102143490-1,floral vase
102143552-1,102143552-1,vase floral
102143559-1,102143559-1,shipping vase floral
102144002-1,102144002-1,shipping floral
102144176-1,102144176-1,floral shipping
102144212-2,102144212-2,floral
102144241-1,102144241-1,shipping vase floral
102144294-1,102144294-1,shipping floral
102144409-1,102144409-1,floral
102144440-1,102144440-1,floral
102144524-2,102144524-2,floral
102144649-1,102144649-1,floral shipping
102144652-1,102144652-1,floral vase
102144679-1,102144679-1,floral
102144899-2,102144899-2,floral
102144937-1,102144937-1,floral shipping
102145257-2,102145257-2,dried
102145350-1,102145350-1,shipping floral
102145664-1,102145664-1,floral
102145693-1,102145693-1,add_on floral
102145979-1,102145979-1,add_on floral vase
102146096-2,102146096-2,vase floral
102146120-1,102146120-1,floral
102146214-1,102146214-1,floral
102146251-1,102146251-1,shipping vase floral
102146538-2,102146538-2,floral
102146544-2,102146544-2,floral
102146651-2,102146651-2,floral
102146652-3,102146652-3,floral
102146816-1,102146816-1,shipping floral
102146971-1,102146971-1,shipping floral
102147059-1,102147059-1,vase floral
102147059-2,102147059-2,floral
102147156-1,102147156-1,vase floral
102147255-1,102147255-1,shipping floral
102147280-1,102147280-1,shipping floral
102147280-2,102147280-2,floral
102147326-2,102147326-2,floral
102147521-1,102147521-1,floral add_on add_on
102147566-1,102147566-1,vase add_on floral
102147785-1,102147785-1,vase add_on floral
102147843-1,102147843-1,floral vase
102147864-1,102147864-1,vase add_on floral
102147896-2,102147896-2,floral
102147931-1,102147931-1,vase floral
102148143-1,102148143-1,floral
102148226-1,102148226-1,shipping dried
102148238-1,102148238-1,floral
102148238-2,102148238-2,floral
102148238-3,102148238-3,floral
102148238-4,102148238-4,floral
102148313-1,102148313-1,shipping vase floral
102148322-1,102148322-1,floral shipping
102148393-2,102148393-2,floral
102148637-1,102148637-1,shipping floral
102148946-1,102148946-1,floral
102148982-2,102148982-2,floral
102149021-3,102149021-3,vase floral
102149105-1,102149105-1,floral
102149152-1,102149152-1,shipping floral
102149157-1,102149157-1,add_on vase floral
102149379-1,102149379-1,floral
102149443-1,102149443-1,shipping floral
102149443-2,102149443-2,floral
102149530-1,102149530-1,shipping floral
102149641-1,102149641-1,vase add_on floral
102149647-1,102149647-1,shipping dried
102149826-1,102149826-1,shipping floral vase
102149876-1,102149876-1,floral
102149992-1,102149992-1,shipping vase floral
102150095-1,102150095-1,shipping vase floral
102150156-1,102150156-1,shipping floral
102150196-1,102150196-1,floral shipping
102150200-1,102150200-1,shipping floral
102150425-1,102150425-1,vase floral
102150579-3,102150579-3,add_on
102150579-4,102150579-4,dried
102150665-1,102150665-1,vase floral
102150665-2,102150665-2,vase floral
102150665-3,102150665-3,vase floral
102150665-4,102150665-4,vase floral
102150665-5,102150665-5,vase floral
102150816-1,102150816-1,shipping floral vase
102150881-1,102150881-1,vase add_on floral
102151038-1,102151038-1,shipping vase floral
102151055-1,102151055-1,shipping floral
102151133-1,102151133-1,vase floral
102151146-1,102151146-1,shipping vase add_on floral
102151155-1,102151155-1,shipping floral
102151191-1,102151191-1,floral vase
102151253-2,102151253-2,floral
102151353-2,102151353-2,floral
102151372-2,102151372-2,floral
102151531-2,102151531-2,floral
102151553-1,102151553-1,shipping vase floral
102151660-1,102151660-1,vase floral
102151737-1,102151737-1,vase floral
102151926-1,102151926-1,add_on vase floral
102151987-1,102151987-1,shipping floral
102152031-2,102152031-2,floral
102152058-1,102152058-1,floral
102152060-1,102152060-1,vase floral
102152066-1,102152066-1,vase add_on floral
102152077-1,102152077-1,shipping plant
102152148-1,102152148-1,floral add_on vase
102152245-1,102152245-1,vase floral
102152250-3,102152250-3,vase floral
102152268-1,102152268-1,floral
102152268-2,102152268-2,floral
102152268-3,102152268-3,floral
102152278-3,102152278-3,vase floral
102152278-4,102152278-4,vase floral
102152312-1,102152312-1,shipping floral
102152332-2,102152332-2,floral add_on
102152448-1,102152448-1,floral shipping
102152635-1,102152635-1,shipping floral
102152724-1,102152724-1,shipping vase floral
102152764-1,102152764-1,shipping floral
102152787-1,102152787-1,floral
102152989-1,102152989-1,shipping floral
102152994-2,102152994-2,vase floral
102153001-2,102153001-2,floral
102153038-1,102153038-1,floral
102153121-2,102153121-2,floral
102153167-2,102153167-2,floral
102153203-2,102153203-2,floral
102153259-2,102153259-2,plant
102153514-1,102153514-1,floral
102153514-2,102153514-2,floral
102153609-1,102153609-1,shipping floral
102153774-1,102153774-1,floral
102153805-1,102153805-1,floral
102153823-1,102153823-1,floral
102153834-2,102153834-2,dried vase
102154126-1,102154126-1,shipping vase add_on floral
102154271-1,102154271-1,shipping floral
102154271-2,102154271-2,floral
102154383-2,102154383-2,floral
102154391-3,102154391-3,floral
102154449-2,102154449-2,floral
102154464-1,102154464-1,shipping add_on floral
102154601-2,102154601-2,vase floral
102154614-1,102154614-1,shipping floral
102154629-1,102154629-1,shipping floral
102154658-2,102154658-2,floral
102154774-2,102154774-2,floral floral
102154869-1,102154869-1,shipping floral
102154912-1,102154912-1,shipping floral
102154943-2,102154943-2,floral
102154998-1,102154998-1,shipping vase floral
102155007-1,102155007-1,floral add_on vase
102155015-1,102155015-1,vase floral
102155017-1,102155017-1,shipping floral
102155061-1,102155061-1,shipping vase floral
102155125-2,102155125-2,plant
102155171-1,102155171-1,shipping floral
102155197-1,102155197-1,shipping floral
102155226-1,102155226-1,floral
102155268-1,102155268-1,floral
102155385-1,102155385-1,shipping floral vase
102155578-1,102155578-1,floral
102155607-3,102155607-3,dried vase
102155732-1,102155732-1,shipping floral
102156009-1,102156009-1,shipping floral
102156036-1,102156036-1,shipping floral
102156047-1,102156047-1,shipping floral
102156095-1,102156095-1,shipping plant
102156108-1,102156108-1,vase floral
