vendor,sending_zip,receiving_zip,vendor_B_pricing,
vendor_B,22001,1001,16,
vendor_B,22009,1001,16,
vendor_B,23589,1001,16,
vendor_B,22001,1002,16,
vendor_B,22009,1002,16,
vendor_B,23589,1002,16,
vendor_B,22001,1003,16,
vendor_B,22009,1003,16,
vendor_B,23589,1003,16,
vendor_B,22001,1005,18,
vendor_B,22009,1005,18,
vendor_B,23589,1005,18,
vendor_B,22001,1007,16,
vendor_B,22009,1007,16,
vendor_B,23589,1007,16,
vendor_B,22001,1010,16,
vendor_B,22009,1010,16,
vendor_B,23589,1010,16,
vendor_B,22001,1013,16,
vendor_B,22009,1013,9,
vendor_B,23589,1013,16,
vendor_B,22001,1020,16,
vendor_B,22009,1020,16,
vendor_B,23589,1020,16,
vendor_B,22001,1027,16,
vendor_B,22009,1027,16,
vendor_B,23589,1027,16,
vendor_B,22001,1028,16,
vendor_B,22009,1028,16,
vendor_B,23589,1028,16,
vendor_B,22001,1030,16,
vendor_B,22009,1030,16,
vendor_B,23589,1030,16,
vendor_B,22001,1033,16,
vendor_B,22009,1033,16,
vendor_B,23589,1033,16,
vendor_B,22001,1035,14,
vendor_B,22009,1035,14,
vendor_B,23589,1035,14,
vendor_B,22001,1037,16,
vendor_B,22009,1037,16,
vendor_B,23589,1037,16,
vendor_B,22001,1040,16,
vendor_B,22009,1040,16,
vendor_B,23589,1040,16,
vendor_B,22001,1053,9,
vendor_B,22009,1053,16,
vendor_B,23589,1053,16,
vendor_B,22001,1056,16,
vendor_B,22009,1056,16,
vendor_B,23589,1056,16,
vendor_B,22001,1057,16,
vendor_B,22009,1057,16,
vendor_B,23589,1057,16,
vendor_B,22001,1060,16,
vendor_B,22009,1060,16,
vendor_B,23589,1060,16,
vendor_B,22001,1062,16,
vendor_B,22009,1062,16,
vendor_B,23589,1062,16,
vendor_B,22001,1063,16,
vendor_B,22009,1063,16,
vendor_B,23589,1063,16,
vendor_B,22001,1068,9,
vendor_B,22009,1068,9,
vendor_B,23589,1068,9,
vendor_B,22001,1069,9,
vendor_B,22009,1069,9,
vendor_B,23589,1069,9,
vendor_B,22001,1075,9,
vendor_B,22009,1075,9,
vendor_B,23589,1075,9,
vendor_B,22001,1077,9,
vendor_B,22009,1077,9,
vendor_B,23589,1077,9,
vendor_B,22001,1081,9,
vendor_B,22009,1081,9,
vendor_B,23589,1081,9,
vendor_B,22001,1082,9,
vendor_B,22009,1082,9,
vendor_B,23589,1082,9,
vendor_B,22001,1085,9,
vendor_B,22009,1085,9,
vendor_B,23589,1085,9,
vendor_B,22001,1089,9,
vendor_B,22009,1089,9,
vendor_B,23589,1089,9,
vendor_B,22001,1093,9,
vendor_B,22009,1093,9,
vendor_B,23589,1093,9,
vendor_B,22001,1095,9,
vendor_B,22009,1095,9,
vendor_B,23589,1095,9,
vendor_B,22001,1104,9,
vendor_B,22009,1104,9,
vendor_B,23589,1104,9,
vendor_B,22001,1106,9,
vendor_B,22009,1106,9,
vendor_B,23589,1106,16,
vendor_B,22001,1109,16,
vendor_B,22009,1109,16,
vendor_B,23589,1109,16,
vendor_B,22001,1118,16,
vendor_B,22009,1118,16,
vendor_B,23589,1118,16,
vendor_B,22001,1119,16,
vendor_B,22009,1119,16,
vendor_B,23589,1119,16,
vendor_B,22001,1128,16,
vendor_B,22009,1128,16,
vendor_B,23589,1128,16,
vendor_B,22001,1201,16,
vendor_B,22009,1201,16,
vendor_B,23589,1201,16,
vendor_B,22001,1222,16,
vendor_B,22009,1222,16,
vendor_B,23589,1222,16,
vendor_B,22001,1223,16,
vendor_B,22009,1223,16,
vendor_B,23589,1223,16,
vendor_B,22001,1230,16,
vendor_B,22009,1230,16,
vendor_B,23589,1230,16,
vendor_B,22001,1235,16,
vendor_B,22009,1235,16,
vendor_B,23589,1235,16,
vendor_B,22001,1238,16,
vendor_B,22009,1238,16,
vendor_B,23589,1238,16,
vendor_B,22001,1240,16,
vendor_B,22009,1240,16,
vendor_B,23589,1240,16,
vendor_B,22001,1247,16,
vendor_B,22009,1247,16,
vendor_B,23589,1247,16,
vendor_B,22001,1254,16,
vendor_B,22009,1254,16,
vendor_B,23589,1254,16,
vendor_B,22001,1255,16,
vendor_B,22009,1255,16,
vendor_B,23589,1255,16,
vendor_B,22001,1257,16,
vendor_B,22009,1257,16,
vendor_B,23589,1257,16,
vendor_B,22001,1258,16,
vendor_B,22009,1258,16,
vendor_B,23589,1258,16,
vendor_B,22001,1259,16,
vendor_B,22009,1259,16,
vendor_B,23589,1259,16,
vendor_B,22001,1266,16,
vendor_B,22009,1266,16,
vendor_B,23589,1266,16,
vendor_B,22001,1267,16,
vendor_B,22009,1267,16,
vendor_B,23589,1267,16,
vendor_B,22001,1301,16,
vendor_B,22009,1301,16,
vendor_B,23589,1301,16,
vendor_B,22001,1330,16,
vendor_B,22009,1330,16,
vendor_B,23589,1330,16,
vendor_B,22001,1342,16,
vendor_B,22009,1342,16,
vendor_B,23589,1342,16,
vendor_B,22001,1351,16,
vendor_B,22009,1351,16,
vendor_B,23589,1351,16,
vendor_B,22001,1354,16,
vendor_B,22009,1354,16,
vendor_B,23589,1354,16,
vendor_B,22001,1370,16,
vendor_B,22009,1370,16,
vendor_B,23589,1370,16,
vendor_B,22001,1375,16,
vendor_B,22009,1375,16,
vendor_B,23589,1375,16,
vendor_B,22001,1376,16,
vendor_B,22009,1376,16,
vendor_B,23589,1376,16,
vendor_B,22001,1420,16,
vendor_B,22009,1420,16,
vendor_B,23589,1420,16,
vendor_B,22001,1430,16,
vendor_B,22009,1430,16,
vendor_B,23589,1430,16,
vendor_B,22001,1432,16,
vendor_B,22009,1432,16,
vendor_B,23589,1432,16,
vendor_B,22001,1436,16,
vendor_B,22009,1436,16,
vendor_B,23589,1436,16,
vendor_B,22001,1440,16,
vendor_B,22009,1440,16,
vendor_B,23589,1440,16,
vendor_B,22001,1450,14,
vendor_B,22009,1450,14,
vendor_B,23589,1450,14,
vendor_B,22001,1451,16,
vendor_B,22009,1451,16,
vendor_B,23589,1451,16,
vendor_B,22001,1453,16,
vendor_B,22009,1453,16,
vendor_B,23589,1453,16,
vendor_B,22001,1460,16,
vendor_B,22009,1460,16,
vendor_B,23589,1460,16,
vendor_B,22001,1462,16,
vendor_B,22009,1462,16,
vendor_B,23589,1462,16,
vendor_B,22001,1463,16,
vendor_B,22009,1463,16,
vendor_B,23589,1463,16,
vendor_B,22001,1469,16,
vendor_B,22009,1469,16,
vendor_B,23589,1469,16,
vendor_B,22001,1473,16,
vendor_B,22009,1473,16,
vendor_B,23589,1473,16,
vendor_B,22001,1474,16,
vendor_B,22009,1474,16,
vendor_B,23589,1474,16,
vendor_B,22001,1501,16,
vendor_B,22009,1501,16,
vendor_B,23589,1501,16,
vendor_B,22001,1505,16,
vendor_B,22009,1505,16,
vendor_B,23589,1505,16,
vendor_B,22001,1506,16,
vendor_B,22009,1506,16,
vendor_B,23589,1506,16,
vendor_B,22001,1507,16,
vendor_B,22009,1507,16,
vendor_B,23589,1507,16,
vendor_B,22001,1510,16,
vendor_B,22009,1510,16,
vendor_B,23589,1510,16,
vendor_B,22001,1516,16,
vendor_B,22009,1516,16,
vendor_B,23589,1516,16,
vendor_B,22001,1519,16,
vendor_B,22009,1519,16,
vendor_B,23589,1519,16,
vendor_B,22001,1520,18,
vendor_B,22009,1520,18,
vendor_B,23589,1520,18,
vendor_B,22001,1522,16,
vendor_B,22009,1522,16,
vendor_B,23589,1522,16,
vendor_B,22001,1524,18,
vendor_B,22009,1524,18,
vendor_B,23589,1524,18,
vendor_B,22001,1527,16,
vendor_B,22009,1527,16,
vendor_B,23589,1527,16,
vendor_B,22001,1532,16,
vendor_B,22009,1532,16,
vendor_B,23589,1532,16,
vendor_B,22001,1534,16,
vendor_B,22009,1534,16,
vendor_B,23589,1534,16,
vendor_B,22001,1536,16,
vendor_B,22009,1536,16,
vendor_B,23589,1536,16,
vendor_B,22001,1541,16,
vendor_B,22009,1541,16,
vendor_B,23589,1541,16,
vendor_B,22001,1542,16,
vendor_B,22009,1542,16,
vendor_B,23589,1542,16,
vendor_B,22001,1543,16,
vendor_B,22009,1543,16,
vendor_B,23589,1543,16,
vendor_B,22001,1545,16,
vendor_B,22009,1545,16,
vendor_B,23589,1545,16,
vendor_B,22001,1562,16,
vendor_B,22009,1562,16,
vendor_B,23589,1562,16,
vendor_B,22001,1564,16,
vendor_B,22009,1564,16,
vendor_B,23589,1564,16,
vendor_B,22001,1566,16,
vendor_B,22009,1566,16,
vendor_B,23589,1566,16,
vendor_B,22001,1568,16,
vendor_B,22009,1568,16,
vendor_B,23589,1568,16,
